x,y,Temp(c),R,G,B
0,79,29.287893563440605,0,0,0
1,0,29.540443790931647,0,0,0
1,1,29.592179221271692,0,0,0
1,2,29.721414309353634,0,0,0
1,3,29.572781210436574,0,0,0
1,4,29.856952472075477,0,0,0
1,5,28.98278445770643,0,0,0
1,6,28.995784685096794,0,0,0
1,7,29.326784255855046,0,0,0
1,8,29.326784255855046,0,0,0
1,9,29.060763296313837,0,0,0
1,10,28.924264828782384,0,0,0
1,11,29.15816092679364,0,0,0
1,12,29.164651107645454,0,0,0
1,13,28.43541150337495,0,0,0
1,14,29.352703935467105,0,0,0
1,15,29.546912015265775,0,0,0
1,16,29.37861766080789,0,0,0
1,17,28.878728491693437,0,0,0
1,18,28.663808175411816,0,0,0
1,19,28.383141099774548,0,0,0
1,20,28.21309343786976,0,0,0
1,21,28.330846272252643,0,0,0
1,22,28.402745361517816,0,0,0
1,23,28.637729239033206,0,0,0
1,24,29.171140914539535,0,0,0
1,25,29.70203845782322,0,0,0
1,26,29.203584341844646,0,0,0
1,27,29.073754516950146,0,0,0
1,28,28.88523481241657,0,0,0
1,29,29.449849736337057,0,0,0
1,30,29.650353288770305,0,0,0
1,31,29.592179221271692,0,0,0
1,32,29.695579103131706,0,0,0
1,33,30.26902439670198,0,0,0
1,34,31.286355401356104,0,0,0
1,35,30.352544085638556,0,0,0
1,36,29.630965258772562,0,0,0
1,37,29.650353288770305,0,0,0
1,38,29.3397448401945,0,0,0
1,39,29.927883966957324,0,0,0
1,40,29.313822181949263,0,0,0
1,41,30.37823011449933,0,0,0
1,42,31.6742634012856,0,0,0
1,43,30.583509904707455,0,0,0
1,44,29.300858617977838,0,0,0
1,45,28.839682653594195,0,0,0
1,46,29.76661173096562,0,0,0
1,47,31.29272513632867,0,0,0
1,48,29.96655516857618,0,0,0
1,49,29.940775833474845,0,0,0
1,50,29.242504127132804,0,0,0
1,51,30.583509904707455,0,0,0
1,52,30.49374553781672,0,0,0
1,53,30.365387825174082,0,0,0
1,54,29.398049049722886,0,0,0
1,55,29.449849736337057,0,0,0
1,56,30.146846633122607,0,0,0
1,57,29.96011088439036,0,0,0
1,58,30.429584779261802,0,0,0
1,59,30.3974908303893,0,0,0
1,60,30.314004160982734,0,0,0
1,61,31.241757338518426,0,0,0
1,62,31.540869214592306,0,0,0
1,63,31.470934184331043,0,0,0
1,64,30.839590707373247,0,0,0
1,65,30.52581236239405,0,0,0
1,66,31.62981587845246,0,0,0
1,67,30.87795330844392,0,0,0
1,68,29.908543417102635,0,0,0
1,69,30.101800616606965,0,0,0
1,70,30.647584036767967,0,0,0
1,71,30.26902439670198,0,0,0
1,72,30.916303028086816,0,0,0
1,73,30.416748285996164,0,0,0
